idx,home,away,league,season,score,odds,edge,won,llm_verdict,llm_confidence,llm_reason
94,Reims,Lille,F1,2020_2021,5,3.1,0.012070354618520296,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
98,St Etienne,Lorient,F1,2020_2021,5,3.3,0.010347367329893775,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
101,Genk,Club Brugge,B1,2021,5,3.6,0.015396013477854908,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
106,Eupen,Gent,B1,2021,5,3.75,0.015857735470995116,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
107,Watford,Middlesbrough,E1,2021,5,3.5,0.013014080508130188,False,BET,0.6,Statistical edge and bookmaker disagreement favor draw odds
109,Rodez,Caen,F2,2021,5,3.2,0.022834083069765754,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
111,Niort,Nancy,F2,2021,5,3.2,0.0228321518928864,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
115,Liverpool,Leeds,E0,2020_2021,5,6.25,0.011207729468599048,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
118,Troyes,Pau FC,F2,2021,5,3.5,0.017193632578247964,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
121,Rangers,Dundee United,SC0,2021,5,8.0,0.013570210473582728,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
129,Cardiff,Sheffield Weds,E1,2021,5,3.4,0.010931954622909024,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
131,Huddersfield,Norwich,E1,2021,5,3.5,0.01098197383252103,False,BET,0.6,Statistical edge and bookmaker disagreement favor draw odds
133,Preston,Swansea,E1,2021,5,3.3,0.01023885534755098,False,BET,0.6,Statistical edge and bookmaker disagreement favor draw odds
134,Valenciennes,Chateauroux,F2,2021,5,3.2,0.010789634474024867,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
141,Accrington,Peterboro,E2,2021,5,3.75,0.013402762227133491,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
142,Guingamp,Le Havre,F2,2021,5,3.2,0.019995759837478977,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
143,Amiens,Paris FC,F2,2021,5,3.25,0.015745591548507354,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
144,Crewe,Charlton,E2,2021,5,3.5,0.013240572064101508,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
145,Auxerre,Clermont,F2,2021,5,3.1,0.013432341310689544,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
146,Chambly,Grenoble,F2,2021,5,3.1,0.02136721768362121,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
147,Doncaster,Milton Keynes Dons,E2,2021,5,3.4,0.012540403471715866,True,BET,0.6,Statistical edge and bookmaker disagreement favor draw odds
149,Gillingham,Hull,E2,2021,5,3.4,0.015218029555979062,False,BET,0.6,Statistical edge and bookmaker disagreement favor draw odds
150,Lincoln,Oxford,E2,2021,5,3.4,0.010173592926848274,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
152,Granada,Ath Bilbao,SP1,2020_2021,5,3.1,0.011181266005733714,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
153,Swindon,Rochdale,E2,2021,5,3.8,0.0120630328486927,False,BET,0.6,Statistical edge and bookmaker disagreement favor draw odds
163,Eibar,Celta,SP1,2020_2021,5,3.25,0.01075094985297137,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
165,Ipswich,Wigan,E2,2021,5,4.5,0.011108002121537397,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
167,Paris SG,Marseille,F1,2020_2021,5,5.0,0.02575757575757573,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
171,Sparta Rotterdam,Ajax,N1,2021,5,7.0,0.010867557387981008,False,BET,0.6,Statistical edge and bookmaker disagreement favor draw odds
174,Anderlecht,Cercle Brugge,B1,2021,5,4.75,0.013930321072478158,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
175,St Truiden,Antwerp,B1,2021,5,3.9,0.010628615891773718,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
177,Kortrijk,Mouscron,B1,2021,5,3.9,0.011209176331489101,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
179,Valencia,Levante,SP1,2020_2021,5,3.6,0.012178434592227672,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
185,Fuenlabrada,Lugo,SP2,2021,5,3.2,0.014961596380643871,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
191,Dijon,Brest,F1,2020_2021,5,3.3,0.015800756719870912,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
192,Beerschot VA,Genk,B1,2021,5,3.75,0.010202219025748416,False,BET,0.8,Statistical edge and bookmaker consensus favor draw odds despite slight disagreement.
194,Sheffield United,Wolves,E0,2020_2021,5,3.1,0.01099912858669383,False,BET,0.6,Statistical edge and bookmaker disagreement favor draw odds
195,Toulouse,Sochaux,F2,2021,5,3.2,0.017648852709964413,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
197,Paris SG,Metz,F1,2020_2021,6,11.0,0.05591969199883945,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
198,St Mirren,Celtic,SC0,2021,5,8.0,0.011246332025786038,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
202,Charleroi,Beerschot VA,B1,2021,5,3.9,0.014055860864371439,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
210,Paris FC,Nancy,F2,2021,5,3.2,0.02658522547150638,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
211,Le Havre,Niort,F2,2021,5,3.4,0.020468534125088034,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
212,Grenoble,Ajaccio,F2,2021,5,3.1,0.01091881958307328,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
215,Caen,Chambly,F2,2021,5,3.4,0.01611900573274827,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
216,Clermont,Toulouse,F2,2021,5,3.2,0.014033616709172025,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
227,Shrewsbury,Northampton,E2,2021,5,3.4,0.010413538110766118,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
229,Milton Keynes Dons,Lincoln,E2,2021,5,3.4,0.01579879382688043,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
231,Sochaux,Rodez,F2,2021,5,3.1,0.015390848243342803,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
238,Celta,Valencia,SP1,2020_2021,5,3.6,0.012013767928983177,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
242,Blackburn,Wycombe,E1,2021,5,4.0,0.010195469543774871,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
248,Castellon,Malaga,SP2,2021,4,2.9,0.012125383068587903,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
249,Alcorcon,Tenerife,SP2,2021,4,3.0,0.020504373234258355,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
250,Mirandes,Oviedo,SP2,2021,4,3.0,0.012809261294729424,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
269,Swansea,Birmingham,E1,2021,5,3.3,0.01346846716360195,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
270,Sheffield Weds,Watford,E1,2021,5,3.25,0.010421002928211631,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
271,Rotherham,Millwall,E1,2021,5,3.2,0.010541765582088136,False,BET,0.6,Statistical edge and bookmaker disagreement favor draw odds
273,Reading,Barnsley,E1,2021,5,3.4,0.0174119747081945,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
276,Genk,Mechelen,B1,2021,5,4.2,0.010224133430733168,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
283,Huesca,Cadiz,SP1,2020_2021,5,3.1,0.011322517283246625,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
284,Antwerp,Eupen,B1,2021,5,4.2,0.02921999974201317,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
285,Standard,Kortrijk,B1,2021,5,4.33,0.012770423403459186,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
286,Juventus,Sampdoria,I1,2020_2021,4,6.25,0.012720804100114474,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
293,Nice,Paris SG,F1,2020_2021,5,5.0,0.013127869794693742,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
295,Metz,Reims,F1,2020_2021,4,3.0,0.01503299276287784,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
302,Greuther Furth,Osnabruck,D2,2021,5,3.6,0.010105008186849618,True,BET,0.7,Statistical edge and bookmaker disagreement favor draw odds
308,Moreirense,Farense,P1,2021,5,3.3,0.01392695965199553,False,BET,0.6,Statistical edge and bookmaker disagreement favor draw odds
310,Cartagena,Sp Gijon,SP2,2021,4,3.0,0.025045578466348528,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
313,Lugo,Leganes,SP2,2021,5,3.1,0.011817901874650427,False,BET,0.6,Statistical edge and bookmaker disagreement favor draw odds
315,Rochdale,Portsmouth,E2,2021,5,4.0,0.021536146536146494,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
322,Cercle Brugge,St Truiden,B1,2021,5,3.7,0.017300956559268554,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
324,Wolves,Man City,E0,2020_2021,5,4.5,0.011460491481595253,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
341,Valenciennes,Caen,F2,2021,4,3.0,0.01213835707552835,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
342,Rodez,Dunkerque,F2,2021,5,3.1,0.025843227488466347,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
345,Guingamp,Grenoble,F2,2021,5,3.1,0.025285958849706913,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
348,Ajaccio,Sochaux,F2,2021,4,2.88,0.010351849868928842,True,BET,0.8,Statistical edge and balanced match favor draw odds
349,Niort,Paris FC,F2,2021,4,3.0,0.01894903286312849,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
359,Birmingham,Rotherham,E1,2021,5,3.4,0.012485755165481116,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
368,Schalke 04,Werder Bremen,D1,2020_2021,5,3.5,0.010287853310986639,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
375,Inter,Fiorentina,I1,2020_2021,5,4.5,0.014281497415441019,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
379,Darmstadt,Regensburg,D2,2021,5,3.7,0.011854778653197617,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
380,Braunschweig,Holstein Kiel,D2,2021,5,3.6,0.013430877401465646,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
388,Marseille,Metz,F1,2020_2021,5,3.8,0.013126195633935578,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
392,Torino,Atalanta,I1,2020_2021,5,4.4,0.01106391959063302,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
396,Sunderland,Peterboro,E2,2021,5,3.6,0.012360194944464609,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
400,Ipswich,Rochdale,E2,2021,5,4.75,0.012276416433793624,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
405,Accrington,Oxford,E2,2021,5,3.4,0.01014931165256705,False,BET,0.8,Statistical edge and bookmaker consensus favor draw odds
410,Betis,Real Madrid,SP1,2020_2021,5,4.0,0.01426534651963901,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
411,Fleetwood Town,AFC Wimbledon,E2,2021,5,4.2,0.01290726817042609,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
416,Angers,Brest,F1,2020_2021,5,3.4,0.014874505588704734,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
425,Valladolid,Celta,SP1,2020_2021,4,3.0,0.015106297947020397,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
426,Cadiz,Sevilla,SP1,2020_2021,5,3.6,0.017797059652263247,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
427,Ath Madrid,Granada,SP1,2020_2021,5,4.2,0.015193300250978703,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
434,West Ham,Wolves,E0,2020_2021,5,3.5,0.012556411453470251,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
436,Ross County,Aberdeen,SC0,2021,5,3.75,0.016512711311189532,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
440,FC Emmen,Willem II,N1,2021,5,3.6,0.011676034333833407,True,BET,0.8,Statistical edge and bookmaker consensus favor draw odds
450,Feyenoord,Den Haag,N1,2021,5,7.0,0.011817137111254788,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
453,Lincoln,Charlton,E2,2021,5,3.3,0.016332804682342272,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
475,Huesca,Ath Madrid,SP1,2020_2021,5,4.2,0.010480961188634313,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
477,Eibar,Elche,SP1,2020_2021,5,3.7,0.01690335697688644,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
479,Ajaccio,Dunkerque,F2,2021,5,3.2,0.015369864054074533,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
480,Udinese,Spezia,I1,2020_2021,5,4.0,0.015308645736077653,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
487,Antwerp,Mechelen,B1,2021,5,4.0,0.0226040771172617,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
492,Guimaraes,Pacos Ferreira,P1,2021,5,3.6,0.011009004889304286,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
494,Sandhausen,St Pauli,D2,2021,5,3.7,0.011818643812904983,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
499,Venezia,Frosinone,I2,2021,4,3.0,0.016950361170856576,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
500,Vicenza,Pordenone,I2,2021,5,3.1,0.012190757952204478,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
501,Dunkerque,Guingamp,F2,2021,5,3.2,0.011409549721303813,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
503,Paris FC,Le Havre,F2,2021,4,3.0,0.015593231884969305,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
504,Toulouse,Troyes,F2,2021,5,3.1,0.013800258897150142,True,BET,0.6,Statistical edge and bookmaker disagreement favor draw odds
506,Caen,Amiens,F2,2021,4,3.0,0.012524003322226196,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
507,Clermont,Rodez,F2,2021,5,3.2,0.010103662825464266,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
508,Ascoli,Lecce,I2,2021,5,3.25,0.011038255395670549,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
512,Chateauroux,Niort,F2,2021,5,3.1,0.01419936489970447,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
513,Auxerre,Ajaccio,F2,2021,4,3.0,0.010225072826322568,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
515,Reggina,Pescara,I2,2021,5,3.25,0.013178237759699507,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
518,Eupen,Cercle Brugge,B1,2021,5,3.6,0.017736982960572356,False,BET,0.85,Statistical edge and bookmaker disagreement favor draw odds
520,Hannover,Braunschweig,D2,2021,5,3.9,0.010624250262408097,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
525,Milton Keynes Dons,Ipswich,E2,2021,5,3.5,0.013439082136403546,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
527,Charlton,Sunderland,E2,2021,5,3.5,0.012028802089654012,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
530,Blackpool,Lincoln,E2,2021,5,3.4,0.010508622640975573,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
532,Vitesse,Heracles,N1,2021,5,4.33,0.015217340755464659,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
537,Tondela,Sp Braga,P1,2021,5,4.2,0.010358745970256794,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
538,Regensburg,Karlsruhe,D2,2021,5,3.6,0.016877499909174143,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
542,Oud-Heverlee Leuven,Waregem,B1,2021,5,3.75,0.013599707629558366,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
546,Leeds,Man City,E0,2020_2021,5,5.5,0.010030898166491359,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
547,Pau FC,Nancy,F2,2021,4,3.0,0.01729559370968925,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
551,Sheffield Weds,QPR,E1,2021,5,3.5,0.01591954924461242,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
552,Rotherham,Huddersfield,E1,2021,5,3.2,0.01129988242814417,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
559,Alcorcon,Zaragoza,SP2,2021,4,3.0,0.013579987264197735,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
566,Werder Bremen,Bielefeld,D1,2020_2021,5,3.75,0.014476673765380088,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
568,FC Koln,M'gladbach,D1,2020_2021,5,4.0,0.011103839428647622,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
573,Ath Madrid,Villarreal,SP1,2020_2021,5,3.9,0.010497120356275258,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
578,PSV Eindhoven,For Sittard,N1,2021,5,8.0,0.01741016919588348,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
583,Brentford,Preston,E1,2021,5,4.0,0.01177723943553488,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
587,Sparta Rotterdam,AZ Alkmaar,N1,2021,5,4.2,0.010628260628260638,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
592,Cittadella,Brescia,I2,2021,5,3.25,0.01473579302770206,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
593,Pisa,Cremonese,I2,2021,5,3.1,0.015649319499171532,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
595,Milan,Spezia,I1,2020_2021,5,6.25,0.015735824778724317,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
604,Castellon,Leganes,SP2,2021,4,3.0,0.012050914033347515,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
607,Charleroi,Standard,B1,2021,5,3.6,0.024783045022008232,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
616,St Johnstone,Celtic,SC0,2021,4,6.0,0.013457822779856687,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
619,Portimonense,Sp Lisbon,P1,2021,5,3.75,0.012301041773456367,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
620,Wurzburger Kickers,Greuther Furth,D2,2021,5,3.6,0.01176281161326026,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
624,Lyon,Marseille,F1,2020_2021,5,4.0,0.015516597770890261,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
625,Nurnberg,Darmstadt,D2,2021,5,3.8,0.022719185661708163,False,BET,0.6,Statistical edge and bookmaker disagreement favor draw odds
629,Blackpool,Ipswich,E2,2021,5,3.3,0.016819574284554162,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
635,Tenerife,Vallecano,SP2,2021,4,3.0,0.01371781294264307,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
636,Portsmouth,Milton Keynes Dons,E2,2021,5,3.9,0.010000518612343745,False,BET,0.8,Statistical edge and bookmaker consensus favor draw odds
642,Ponferradina,Cartagena,SP2,2021,4,2.87,0.01611969555672582,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
644,Leganes,Girona,SP2,2021,4,3.0,0.010011828633210373,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
646,Zaragoza,Albacete,SP2,2021,5,3.25,0.011054408498108959,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
653,Logrones,Leganes,SP2,2021,4,2.9,0.014040902408555989,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
655,Cartagena,Fuenlabrada,SP2,2021,4,2.9,0.01354956240013716,True,BET,0.65,Statistical edge and bookmaker disagreement favor draw odds
656,Castellon,Lugo,SP2,2021,4,3.0,0.011066876079491805,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
657,Albacete,Sabadell,SP2,2021,4,3.0,0.010209188507411482,False,BET,0.8,Statistical edge and bookmaker consensus favor draw odds
659,Marseille,Bordeaux,F1,2020_2021,5,3.6,0.018727441141234202,False,BET,0.8,Statistical edge and bookmaker consensus favor draw odds
665,Cercle Brugge,Gent,B1,2021,5,4.0,0.015388850915166674,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
667,Mechelen,Kortrijk,B1,2021,5,3.75,0.013946926675952764,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
668,Standard,Club Brugge,B1,2021,5,3.6,0.011191970105619065,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
685,Crotone,Juventus,I1,2020_2021,4,4.7,0.010665510616822749,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
689,Celta,Ath Madrid,SP1,2020_2021,5,3.5,0.017459434377863403,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
690,Granada,Sevilla,SP1,2020_2021,5,3.5,0.011114572887706176,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
691,Valenciennes,Sochaux,F2,2021,5,3.1,0.020143494970358444,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
693,Amiens,Grenoble,F2,2021,5,3.1,0.022472125781358265,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
697,Rodez,Troyes,F2,2021,5,3.1,0.012182135919803883,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
700,Swansea,Huddersfield,E1,2021,5,3.5,0.010118287057381325,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
708,Le Havre,Chateauroux,F2,2021,5,3.25,0.022099572847374238,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
709,Newcastle,Man United,E0,2020_2021,5,4.2,0.011972530393583036,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
713,Everton,Liverpool,E0,2020_2021,5,4.2,0.01018160629842274,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
714,Chelsea,Southampton,E0,2020_2021,5,4.75,0.012795769968564658,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
717,AFC Wimbledon,Shrewsbury,E2,2021,5,3.2,0.018544004357324728,False,BET,0.8,Statistical edge and bookmaker consensus favor draw odds
723,Bielefeld,Bayern Munich,D1,2020_2021,5,8.5,0.011324114252131812,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
724,Heracles,Waalwijk,N1,2021,5,4.5,0.0103921318496486,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
727,Fleetwood Town,Lincoln,E2,2021,5,3.5,0.015790672190732213,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
728,Ipswich,Accrington,E2,2021,5,3.8,0.012783982161830909,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
731,Portsmouth,Doncaster,E2,2021,5,3.5,0.013259280606938206,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
733,Bristol Rvs,Burton,E2,2021,5,3.4,0.010778443831100382,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
736,Waregem,Antwerp,B1,2021,4,4.23,0.030121610972674823,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
743,Groningen,Utrecht,N1,2021,5,3.6,0.011755129402188202,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
744,FC Emmen,For Sittard,N1,2021,5,4.0,0.012498400656295372,True,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
749,Roma,Benevento,I1,2020_2021,5,5.75,0.0116472984348234,False,BET,0.8,Statistical edge and bookmaker disagreement favor draw odds
